what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1267579341265
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1267579341266
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1267579341266
os,sysinfo,,,"win32",1267579341269
arch,sysinfo,,,"x86",1267579341269
ws,sysinfo,,,"win32",1267579341269
locale,sysinfo,,,"en_US",1267579341269
processors,sysinfo,,,"2",1267579341269
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1267579341269
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1267579341269
java.specification.name,sysinfo,,,"Java Platform API Specification",1267579341269
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1267579341269
java.specification.version,sysinfo,,,"1.6",1267579341269
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1267579341269
java.version,sysinfo,,,"1.6.0_18",1267579341269
java.vm.info,sysinfo,,,"mixed mode, sharing",1267579341269
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1267579341269
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1267579341269
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1267579341269
java.vm.specification.version,sysinfo,,,"1.0",1267579341269
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1267579341269
java.vm.version,sysinfo,,,"16.0-b13",1267579341269
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1267579358642
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1267579358695
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1267579358727
